Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.075591,0.18181,0.53368,0,0,0,7.5328,0.047575,5.04E-06,-1.2639E-06,0.1993,0.0015833,0.16712,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,Assem1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm1link1,-0.55999,-0.28744,0.051236,0,0,0,7.7227,0.29983,0.0089672,-0.019248,0.99471,0.048622,1.206,0,0,0,0,0,0,package://Assem1/meshes/arm1link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link1.STL,,Robot Assembly-1/Base-1,Origin_arm1_joint_base,Axis_arm1_joint_base,arm1_joint_base,fixed,-0.47438,-0.81752,0.13149,0,0,-3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
arm1link2,-0.589155263772604,0.0347360316411588,0.242236398861091,0,0,0,7.72274334503839,0.299829514622356,-0.0192483600549362,-0.00896715497574477,1.20600140973128,-0.0486215838552607,0.994714328801268,0,0,0,0,0,0,package://Assem1/meshes/arm1link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link2.STL,,Robot Assembly-1/Shoulder_Rotation_Pitch-1,Origin_arm1_joint2,Axis_arm1_joint2,arm1_joint2,revolute,0.029162,-0.0452,0.0165,1.5708,0,0,arm1link1,1,0,0,50,100,-1.57,1.57,,,,,,,,
arm1link3,-0.589155263772605,-0.212230202839986,0.0658806583496807,0,0,0,7.72274334503839,0.299829514622356,-0.00369494243607378,-0.0209106822834102,1.10991499397471,0.115902016487559,1.09080074455783,0,0,0,0,0,0,package://Assem1/meshes/arm1link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link3.STL,,Robot Assembly-1/Upper_Arm-1,Origin_arm1_joint3,Axis_arm1_joint3,arm1_joint3,revolute,0,0.1025,0.0306,-0.95993,0,0,arm1link2,1,0,0,50,100,-1.57,1.57,,,,,,,,
arm1link4,0.589355263432861,0.262344873646822,0.195205701163893,0,0,0,7.72274334503839,0.299829514622355,-0.0136552551568466,0.0162617108498505,1.20551052224856,-0.0496742954591334,0.995205216283983,0,0,0,0,0,0,package://Assem1/meshes/arm1link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link4.STL,,Robot Assembly-1/Lower_Arm-1,Origin_arm1_joint4,Axis_arm1_joint4,arm1_joint4,revolute,0.0002,0.11257,0.028,-0.5236,0,-3.1416,arm1link3,1,0,0,50,100,-1.57,1.57,,,,,,,,
arm1link5,-0.589355263432857,-0.22447159114541,-0.139186181909,0,0,0,7.72274334503839,0.299829514622356,0.00184304249537437,-0.0211544895358863,1.05068357380714,0.105152652982289,1.15003216472541,0,0,0,0,0,0,package://Assem1/meshes/arm1link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link5.STL,,Robot Assembly-1/Wrist_Pitch_Roll-1,Origin_arm1_joint5,Axis_arm1_joint5,arm1_joint5,revolute,0,0.0052,0.1349,-0.7854,0,3.1416,arm1link4,1,0,0,50,100,-1.57,1.57,,,,,,,,
arm1link6,0.139186181908998,-0.16437159137582,-0.591455269178745,0,0,0,7.72274334503839,1.15003216472541,-0.105152652982289,0.021154489535883,1.05068357380714,0.00184304249537477,0.299829514622356,0,0,0,0,0,0,package://Assem1/meshes/arm1link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm1link6.STL,,Robot Assembly-1/Fixed_Gripper-1,Origin_arm1_joint6,Axis_arm1_joint6,arm1_joint6,revolute,0.0021,-0.0601,0,0,1.5708,0,arm1link5,0,0,1,50,100,-1.57,1.57,,,,,,,,
claw1,-0.159386182984862,-0.139971588121406,0.591455269178746,0,0,0,7.72274334503839,1.15003216472541,0.105152652982289,0.021154489535883,1.05068357380714,-0.00184304249537477,0.299829514622356,0,0,0,0,0,0,package://Assem1/meshes/claw1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/claw1.STL,,Robot Assembly-1/Moving_Jaw-1,Origin_claw1_joint,Axis_claw1_joint,claw1_joint,revolute,-0.0202,-0.0244,0,-3.1416,0,3.1416,arm1link6,0,0,1,50,100,-1.57,1.57,,,,,,,,
arm2link1,-0.271790965063284,-0.287436400309484,0.0512360315517485,0,0,0,7.72274334503839,0.299829514622356,0.00896715497574464,-0.0192483600549387,0.994714328801268,0.0486215838552607,1.20600140973128,0,0,0,0,0,0,package://Assem1/meshes/arm2link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm2link1.STL,,Robot Assembly-2/Base-1,Origin_arm2joint1,Axis_arm2joint1,arm2joint1,revolute,-0.18618,-0.81752,0.13149,0,0,-3.1416,base_link,1,0,0,50,100,-1.57,1.57,,,,,,,,
arm2link2,-0.300953463254282,0.0347360316411555,0.242236398861091,0,0,0,7.72274334503839,0.299829514622356,-0.0192483600549387,-0.00896715497574464,1.20600140973128,-0.0486215838552607,0.994714328801268,0,0,0,0,0,0,package://Assem1/meshes/arm2link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/arm2link2.STL,,Robot Assembly-2/Shoulder_Rotation_Pitch-1,Origin_arm2joint2,Axis_arm2joint2,arm2joint2,revolute,0.029162,-0.0452,0.0165,1.5708,0,0,arm2link1,1,0,0,50,100,-1.57,1.57,,,,,,,,
